Date,Source,Brand,Product Name,RRP,Selling Price
6/9/2019,Broadway,HUAWEI,HUAWEI Y6 PRIME (32GB),1358,1358
6/9/2019,Broadway,HUAWEI,HUAWEI Y7 PRO (32GB),1558,1558
6/9/2019,Broadway,HUAWEI,HUAWEI Y9 (64GB),1688,1688
6/9/2019,Broadway,HUAWEI,HUAWEI Y9 PRIME (128GB),1888,1888
6/9/2019,Broadway,HUAWEI,HUAWEI NOVA 3I (128GB),2288,2288
6/9/2019,Broadway,HONOR,HONOR VIEW 20 (128GB),4099,3499
6/9/2019,Broadway,HONOR,HONOR VIEW 20 (256GB),4899,4199
6/9/2019,Broadway,LENOVO,LENOVO S5 (64GB),1399,1299
6/9/2019,Broadway,HUAWEI,HUAWEI MATE 10 PRO (128GB),5580,4680
6/9/2019,Broadway,NOKIA,NOKIA 4.2 (32GB),1288,1188
6/9/2019,Broadway,NOKIA,NOKIA 7 PLUS (64GB),3288,1988
6/9/2019,Broadway,NOKIA,NOKIA 8.1 (64GB),3388,2498
6/9/2019,Broadway,NOKIA,NOKIA 8.1 (128GB),3288,2698
6/9/2019,Broadway,NOKIA,NOKIA 5.1 PLUS (32GB),1588,950
6/9/2019,Broadway,NOKIA,NOKIA 9 PUREVIEW (128GB),4988,3998
6/9/2019,Broadway,SAMSUNG,SAMSUNG A20 (32GB),1498,1398
6/9/2019,Broadway,SAMSUNG,SAMSUNG A60 (128GB),2498,2498
6/9/2019,Broadway,SAMSUNG,SAMSUNG A70 (6GB),3098,2798
6/9/2019,Broadway,SAMSUNG,SAMSUNG A80 (128GB),4798,4298
6/9/2019,Broadway,SAMSUNG,SAMSUNG A8S (128GB),3298,2598
6/9/2019,Broadway,SAMSUNG,SAMSUNG A9 (128GB),3598,3598
6/9/2019,Broadway,SAMSUNG,SAMSUNG NOTE 10 (256GB),6998,6998
6/9/2019,Broadway,SAMSUNG,SAMSUNG NOTE 10+ (256GB),7998,7998
6/9/2019,Broadway,SAMSUNG,SAMSUNG NOTE 10+ (512GB),8998,8998
6/9/2019,Broadway,SAMSUNG,SAMSUNG NOTE 9 (128GB),7698,5998
6/9/2019,Broadway,SAMSUNG,SAMSUNG NOTE 9 (512GB),9798,7998
6/9/2019,Broadway,SAMSUNG,SAMSUNG S10 (128GB),5998,5298
6/9/2019,Broadway,SAMSUNG,SAMSUNG S10+ (1TB),11998,11998
6/9/2019,Broadway,SAMSUNG,SAMSUNG S10+ (128GB),6998,6098
