Date,Source,Brand,Product Name,RRP,Selling Price
6/10/2019,SmarTone,APPLE,APPLE IPHONE 8 PLUS (128GB),5399,5399
6/10/2019,SmarTone,APPLE,APPLE IPHONE 8 PLUS (64GB),4899,4899
6/10/2019,SmarTone,APPLE,APPLE IPHONE 8 (128GB),4399,4399
6/10/2019,SmarTone,APPLE,APPLE IPHONE 8 (64GB),3899,3899
6/10/2019,SmarTone,APPLE,APPLE IPHONE XR (64GB),5199,5049
6/10/2019,SmarTone,APPLE,APPLE IPHONE XR (128GB),5699,5549
6/10/2019,SmarTone,APPLE,APPLE IPHONE XR (256GB),7799,7199
6/10/2019,SmarTone,APPLE,APPLE IPHONE XS MAX (64GB),8599,8249
6/10/2019,SmarTone,APPLE,APPLE IPHONE XS MAX (256GB),9899,9599
6/10/2019,SmarTone,APPLE,APPLE IPHONE XS (64GB),7799,7449
6/10/2019,SmarTone,APPLE,APPLE IPHONE XS (256GB),9099,8749
